,Unnamed: 0,Hotel Name,Cost Per Night,Rating,Features,Location,City,Locality,Cost_Price,Discount,Selling_Price,Rate,Customer_Rating,Remarks,Category,Hotel_Name,Parking Facility,wifi_availabilty,AC,Reception,CCTV Cameras,Doctor on Call,Power backup,Elevator
30,30,Oyo Flagship 77043 Malkajgiri,₹675₹223969% offper room per nightView DetailsBook Now,4.0 (1745 Ratings)·Very Good, Parking Facility  Reception  Free Wifi  + 12 more,"Malkajgiri, Hyderabad·       8.7 km",Hyderabad,Malkajgiri,2239,69,675,4.0,1745 Ratings,Very,,Flagship 77043 Malkajgiri,yes,yes,yes,yes,yes,yes,yes,yes
31,31,OYO 79037 Metro Lodge,₹775₹172655% offper room per nightView DetailsBook Now,3.8 (121 Ratings)·Good, Wakeup Service  Free Wifi  Caretaker  + 5 more,"Charminar, Hyderabad·       3.0 km",Hyderabad,Charminar,1726,55,775,3.8,121 Ratings,Good,OYO,79037 Metro Lodge,yes,yes,yes,yes,yes,yes,yes,yes
32,32,OYO 70743 Hotel White House Silverkey,₹541₹158065% offper room per nightView DetailsBook Now,2.8 (63 Ratings)·Fair, Living Room  Reception  Cot  + 21 more,"Near Apollo Hospital,Road No 9, Hyderabad·       8.9 km",Hyderabad,Near Apollo Hospital,1580,65,541,2.8,63 Ratings,Fair,OYO,70743 Hotel White House Silverkey,no,no,no,no,no,no,no,no
33,33,OYO Flagship 60541 White Ridge,₹904₹190452% offper room per nightView DetailsBook Now,4.0 (2299 Ratings)·Very Good, Private Entrance  Parking Facility  Reception  + 12 more,"Near Sai Sanjeevani Hospital, Huda Colony, Hyderabad·       6.6 km",Hyderabad,Near Sai Sanjeevani Hospital,1904,52,904,4.0,2299 Ratings,Very,OYO,Flagship 60541 White Ridge,no,no,no,no,no,no,no,no
34,34,Capital O 82995 Sai Leela Residency,₹549₹215774% offper room per nightView DetailsBook Now,3.2 (36 Ratings)·Fair, Reception  Caretaker  Geyser  + 8 more,"Telangana, Hyderabad·       6.7 km",Hyderabad,Telangana,2157,74,549,3.2,36 Ratings,Fair,Capital O,O 82995 Sai Leela Residency,no,no,no,no,no,no,no,no
35,35,OYO 9796 Hotel Alekhya Residency,₹1014₹206950% offper room per nightView DetailsBook Now,3.8 (765 Ratings)·Good, Free Wifi  CCTV Cameras  Power backup  + 5 more,"Near Global Hospital, Saifabad, Hyderabad·       3.3 km",Hyderabad,Near Global Hospital,2069,50,1014,3.8,765 Ratings,Good,OYO,9796 Hotel Alekhya Residency,yes,yes,yes,yes,yes,yes,yes,yes
36,36,SPOT ON 43890 Kaveri Lodge,₹422₹134468% offper room per nightView DetailsBook Now,3.7 (1076 Ratings)·Good, Parking Facility  Reception  Daily Housekeeping  + 6 more,"Near Kamineni Hospital, L.B.Nagar, Hyderabad·       8.1 km",Hyderabad,Near Kamineni Hospital,1344,68,422,3.7,1076 Ratings,Good,SPOT ON,ON 43890 Kaveri Lodge,no,no,no,no,no,no,no,no
37,37,Collection O 81767 Abhi's R Square,₹879₹193154% offper room per nightView DetailsBook Now,4.0 (480 Ratings)·Very Good, Reception  Security  AC  + 11 more,"Greater Hyderabad Municipal Corporation East Zone, Hyderabad·       4.8 km",Hyderabad,Greater Hyderabad Municipal Corporation East Zone,1931,54,879,4.0,480 Ratings,Very,Collection O,O 81767 Abhi's R Square,no,no,no,no,no,no,no,no
38,38,SPOT ON 45433 Sree Radha Lodge,₹272₹134479% offper room per nightView DetailsBook Now,3.8 (370 Ratings)·Good, AC  Reception  Power backup  + 6 more,"Near Guru dwara, Shivaji Nagar, Hyderabad·       6.0 km",Hyderabad,Near Guru dwara,1344,79,272,3.8,370 Ratings,Good,SPOT ON,ON 45433 Sree Radha Lodge,no,no,no,no,no,no,no,no
39,39,POP 89189 Pratap Luxery Properties,₹1216₹231547% offper room per nightView DetailsBook Now,NEW, Free Wifi  Geyser  CCTV Cameras  + 6 more,"Hyderabad, Hyderabad·       0.2 km",Hyderabad,Hyderabad,2315,47,1216,,,,,89189 Pratap Luxery Properties,yes,yes,yes,yes,yes,yes,yes,yes
40,40,SPOT ON 74055 Panchavati Residency Hotel,₹487₹133363% offper room per nightView DetailsBook Now,3.4 (433 Ratings)·Fair, AC  TV  Private Entrance  + 18 more,"Near Metro Pillar no.954, Mallanna Temple, Beside Chandana Scan Center, Rezimental Bazar, Sec'bad·       6.0 km",Hyderabad,Near Metro Pillar no.954,1333,63,487,3.4,433 Ratings,Fair,SPOT ON,ON 74055 Panchavati Residency Hotel,no,no,no,no,no,no,no,no
41,41,OYO 22907 Hotel Holiday,₹772₹181657% offper room per nightView DetailsBook Now,3.9 (1225 Ratings)·Good, Reception  Free Wifi  Power backup  + 13 more,"M.G Road, Near Rani Gunj X road, Opp. Punjab National Bank, Secunderabad, Hyderabad·       5.4 km",Hyderabad,M.G Road,1816,57,772,3.9,1225 Ratings,Good,OYO,22907 Hotel Holiday,yes,yes,yes,yes,yes,yes,yes,yes
