,Unnamed: 0,Hotel Name,Cost Per Night,Rating,Features,Location,Selling_Price,Cost_Price,Discount,City,Locality,Rate,Customer_Rating,Remarks,Category,wifi_availabilty,Hotel_Name,Elevator,Parking Facility,Power backup,Doctor on Call,CCTV Cameras,Reception,AC
20,20,OYO 84351 Welcome Palace,₹799₹211662% offper room per nightView DetailsBook Now,4.5 (392 Ratings)·Excellent, Hair Dryer  AC  TV  + 3 more,"pillar no. 51 Laxmi Nagar, Delhi",799.0,2116.0,62.0,Delhi,"pillar no. 51 Laxmi Nagar, ",4.5,2 Ratings,Excellent,OYO,no,84351 Welcome Palace,no,no,no,no,no,no,no
21,21,SPOT ON 83214 Raj Guest House,₹454₹208078% offper room per nightView DetailsBook Now,NEW, Parking Facility  Free Wifi  Power backup  + 10 more,"India, Delhi",454.0,2080.0,78.0,Delhi,"India, ",,,,SPOT ON,yes,ON 83214 Raj Guest House,yes,yes,yes,yes,yes,yes,yes
22,22,Townhouse 483 Hotel Rivasa Regency,₹899₹231561% offper room per nightView DetailsBook Now,4.7 (866 Ratings)·Excellent, Private Entrance  Parking Facility  Reception  + 18 more,"B12 Main Chattarpur Road, Delhi",899.0,2315.0,61.0,Delhi,"B12 Main Chattarpur Road, ",4.7,6 Ratings,Excellent,Townhouse,no,483 Hotel Rivasa Regency,no,no,no,no,no,no,no
23,23,Collection O 76614 J K Hotel,₹949₹288667% offper room per nightView DetailsBook Now,3.0 (852 Ratings)·Fair, Free Wifi  CCTV Cameras  AC  + 1 more,"Pitam Pura, Delhi",949.0,2886.0,67.0,Delhi,"Pitam Pura, ",3.0,2 Ratings,Fair,Collection O,yes,O 76614 J K Hotel,yes,yes,yes,yes,yes,yes,yes
24,24,OYO 86920 Bella House,₹500₹209376% offper room per nightView DetailsBook Now,4.0 (61 Ratings)·Very Good, Elevator  Free Wifi  Geyser  + 7 more,"Delhi, Delhi",500.0,2093.0,76.0,Delhi,", ",4.0,1 Ratings,Very,OYO,yes,86920 Bella House,yes,yes,yes,yes,yes,yes,yes
25,25,Collection O 81401 Sai Residency,₹576₹317181% offper room per nightView DetailsBook Now,3.7 (132 Ratings)·Good, Free Wifi  CCTV Cameras  AC  + 4 more,"Multani Dhanda, Delhi",576.0,3171.0,81.0,Delhi,"Multani Dhanda, ",3.7,2 Ratings,Good,Collection O,yes,O 81401 Sai Residency,yes,yes,yes,yes,yes,yes,yes
26,26,OYO 61891 Hotel Kabila ,₹1216₹273355% offper room per nightView DetailsBook Now,4.5 (2291 Ratings)·Excellent, Reception  Free Wifi  Power backup  + 12 more,"Karol Bagh, Delhi",1216.0,1216.0,55.0,Delhi,"Karol Bagh, ",4.5,1 Ratings,Excellent,OYO,yes,61891 Hotel Kabila,yes,yes,yes,yes,yes,yes,yes
27,27,Collection O 83921 The Maharaja Grand,₹722₹257371% offper room per nightView DetailsBook Now,4.4 (141 Ratings)·Very Good, Doctor on Call  Parking Facility  Reception  + 20 more,"Rohini Tehsil, Delhi",722.0,2573.0,71.0,Delhi,"Rohini Tehsil, ",4.4,1 Ratings,Very,Collection O,no,O 83921 The Maharaja Grand,no,no,no,no,no,no,no
28,28,SPOT ON 76979 Chandu Inn,₹376₹137072% offper room per nightView DetailsBook Now,3.1 (392 Ratings)·Fair, Doctor on Call  Reception  Ticket Tour Assistance  + 16 more,"New Delhi - 110016, Delhi",376.0,1370.0,72.0,Delhi,"New  - 110016, ",3.1,2 Ratings,Fair,SPOT ON,no,ON 76979 Chandu Inn,no,no,no,no,no,no,no
29,29,OYO 87205 Hotel Sapan Plaza,₹625₹192067% offper room per nightView DetailsBook Now,4.3 (52 Ratings)·Very Good, Reception  Ticket Tour Assistance  Free Wifi  + 19 more,"New Delhi , Delhi",625.0,1920.0,67.0,Delhi,"New  , ",4.3,2 Ratings,Very,OYO,yes,87205 Hotel Sapan Plaza,yes,yes,yes,yes,yes,yes,yes
